zip_code;label
70700;angirey
60130;angivillers
33390;anglade
15380;anglards de salers
15100;anglards de st flour
46120;anglars
46140;anglars juillac
46300;anglars nozac
12390;anglars st felix
1350;anglefort
88700;anglemont
4170;angles
81260;angles
85750;angles
86260;angles sur l anglin
76280;anglesqueville l esneval
76740;anglesqueville la bras long
64600;anglet
17540;angliers
86330;angliers
51260;anglure
71170;anglure sous dun
51230;angluzelles et courcelles
24270;angoisse
54540;angomont
65690;angos
16000;angouleme
17690;angoulins
40990;angoume
64190;angous
66760;angoustrine villeneuve escaldes
66760;angoustrine villeneuve escaldes
62143;angres
40150;angresse
49440;angrie
2800;anguilcourt le sart
60250;angy
64220;anhaux
59194;anhiers
34150;aniane
59580;aniche
14610;anisy
2320;anizy le grand
2320;anizy le grand
2320;anizy le grand
70800;anjeux
38150;anjou
36210;anjouin
90170;anjoutey
65370;anla
58270;anlezy
24160;anlhiac
58450;annay
62880;annay
89200;annay la cote
89310;annay sur serein
14430;annebault
74000;annecy
74600;annecy
74940;annecy
74370;annecy
74600;annecy
74600;annecy
74960;annecy
74960;annecy
74370;annecy
8310;annelles
74100;annemasse
89200;anneot
17350;annepont
62149;annequin
24430;annesse et beaulieu
77410;annet sur marne
59400;anneux
76480;anneville ambourville
76480;anneville ambourville
50760;anneville en saire
52310;anneville la prairie
76590;anneville sur scie
26140;anneyron
17380;annezay
62232;annezin
59112;annoeullin
39120;annoire
2480;annois
38460;annoisin chatelans
18340;annoix
7100;annonay
52230;annonville
4240;annot
76110;annouville vilmesnil
89440;annoux
50660;annoville
59186;anor
64160;anos
71550;anost
88650;anould
54150;anoux
64350;anoye
76490;anquetierville
52500;anrosey
16500;ansac sur vienne
60250;ansacq
32270;ansan
54470;ansauville
60120;ansauvillers
69480;anse
97121;anse bertrand
66220;ansignan
65140;ansost
84240;ansouis
59152;anstaing
47700;antagnac
15110;anterrieux
25340;anteuil
25340;anteuil
25340;anteuil
17400;antezant la chapelle
17400;antezant la chapelle
47370;anthe
54110;anthelupt
51700;anthenay
8260;antheny
21360;antheuil
60162;antheuil portes
58800;anthien
38280;anthon
74200;anthy sur leman
6160;antibes
6160;antibes
6600;antibes
6600;antibes
65370;antichan
31510;antichan de frontignes
15240;antignac
31110;antignac
86310;antigny
85120;antigny
21230;antigny la ville
57640;antilly
60620;antilly
65220;antin
20270;antisanti
65200;antist
37800;antogny le tillac
49260;antoigne
63340;antoingt
24420;antonne et trigonant
92160;antony
86100;antran
9800;antras
32360;antras
48100;antrenas
11190;antugnac
71400;antully
76560;anveville
62134;anvin
2500;any martin rieux
63420;anzat le luguet
57320;anzeling
23000;anzeme
47700;anzex
59410;anzin
62223;anzin st aubin
71110;anzy le duc
38490;aoste
51170;aougny
8290;aouste
26400;aouste sur sye
88170;aouze
57480;apach
97317;apatou
63420;apchat
15400;apchon
42550;apinac
81700;appelle
61130;appenai sous belleme
25250;appenans
68280;appenwihr
50500;appeville
27290;appeville annebault
20167;appietto
60400;appilly
89380;appoigny
38140;apprieu
38140;apprieu
9250;appy
70100;apremont
73190;apremont
1100;apremont
8250;apremont
60300;apremont
85220;apremont
55300;apremont la foret
55300;apremont la foret
55300;apremont la foret
55300;apremont la foret
18150;apremont sur allier
52250;aprey
84400;apt
9000;arabaux
74300;araches la frasse
74300;araches la frasse
74300;araches la frasse
65170;aragnouet
11600;aragon
64570;aramits
30390;aramon
1110;aranc
64270;arancou
1230;arandas
38510;arandon passins
38510;arandon passins
64190;araujuzon
43200;araules
64190;araux
33640;arbanats
31160;arbas
70120;arbecey
20110;arbellara
1100;arbent
65560;arbeost
64120;arberats sillegue
1190;arbigny
52500;arbigny sous varennes
73800;arbin
32720;arblade le bas
32110;arblade le haut
39600;arbois
31160;arbon
64210;arbonne
77630;arbonne la foret
34150;arboras
20160;arbori
52160;arbot
25400;arbouans
40320;arboucave
64120;arbouet sussaute
58350;arbourse
66320;arboussols
1300;arboys en bugey
1300;arboys en bugey
35130;arbrissel
64230;arbus
74930;arbusigny
52210;arc en barrois
25610;arc et senans
70100;arc les gray
25520;arc sous cicon
25270;arc sous montenot
21560;arc sur tille
33120;arcachon
79210;arcais
46090;arcambal
64200;arcangues
18340;arcay
86200;arcay
21310;arceau
21700;arcenant
7310;arcens
17120;arces
89320;arces dilo
89320;arces dilo
25750;arcey
21410;arcey
4420;archail
74160;archamps
39290;archelange
15200;arches
88380;arches
88380;archettes
